id;titlu;autor;gen;tip;numar_pagini_totale;status;imagine;procent;dataStart;dataFinish;scor;review
1;Papusarul din Cracovia;R.M.Ramero;kids;PAPERBACK;315;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1710669306i/201364232.jpg;1.0;2022-02-21;2022-02-28;4.0;Holocaust
2;Orasul Semilunii. Casa Pamantului si a Sangelui;Sarah J. Maas;fantasy;PAPERBACK;0;FINALIZATA;;1.0;2022-02-21;2022-02-28;5.0;crime and fun
3;Reteaua Alice;Kate Quinn;fiction;PAPERBACK;363;FINALIZATA;http://books.google.com/books/content?id=I1epDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2022-04-05;2022-04-11;5.0;spioni
4;Caietul cu nume pierdute;Sofia Lundberg;fiction;PAPERBACK;207;FINALIZATA;http://books.google.com/books/content?id=Te--DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2022-07-11;2022-07-11;4.5;viata unei batrane
5;Sora mea, Summer;Monica Sabolo;fiction;PAPERBACK;174;FINALIZATA;http://books.google.com/books/content?id=KnK1DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2021-05-22;2021-05-28;4.5;fata disparuta
6;Pacientul;Jasper DeWitt;thriller;PAPERBACK;183;FINALIZATA;http://books.google.com/books/content?id=9HUTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2021-09-18;2021-09-24;4.0;pacient la spital de psihiatrie
7;Fata Anonima;Greer Hendricks, Sarah Pekkanen;thriller;PAPERBACK;475;FINALIZATA;bookmory_data/images/books/book_1723018243569.jpg;1.0;2022-06-01;2022-06-02;4.0;o doctorita ii nebuna dupa sotul ei
8;Casa Bantuita;Shirley Jackson;horror;PAPERBACK;176;FINALIZATA;http://books.google.com/books/content?id=TzusDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2020-08-06;2021-08-13;4.5;un studiu la o casa bantuita
9;Haunting Adeline;H. D. Carlton;mystery;PAPERBACK;640;FINALIZATA;http://books.google.com/books/content?id=PpLtEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2024-09-26;2024-09-29;5.0;smut
10;Casa de Vacanta;Jorn Lier Horst;thriller;PAPERBACK;384;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1493452469i/35009043.jpg;1.0;2022-06-05;2022-06-06;4.0;crime, oameni prosti
11;Minti Primejdioase;Alexandra Bracken;fiction;PAPERBACK;536;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1452621925i/28524480.jpg;1.0;2021-11-24;2021-11-29;5.0;copii cu superputeri
12;Niciodata Induplecate;Alexandra Bracken;YA;PAPERBACK;576;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1488590150i/34458015.jpg;1.0;2021-12-18;2021-12-20;5.0;copii cu superputeri
13;Dupa Asfintit;Alexandra Bracken;YA;PAPERBACK;624;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1515512163i/37881258.jpg;1.0;2022-01-01;2022-01-03;5.0;copii cu superputeri
14;Cotloane Intunecate;Ruth Rendell;thriller;PAPERBACK;263;FINALIZATA;bookmory_data/images/books/book_1723025548661.jpg;1.0;2023-08-23;2023-09-16;2.5;dump ppl
15;Taramul Povestilor. Vraja Dorintelor;Chris Colfer;fantasy;PAPERBACK;0;FINALIZATA;;1.0;2023-08-23;2023-09-16;4.0;copii in lumea basmelor
16;Taramul Povestilor. Intoarcerea Fermecatoarei;Chris Colfer;fantasy;PAPERBACK;0;FINALIZATA;;1.0;2023-08-23;2023-09-16;4.0;copii in lumea basmelor
17;Trupuri divine;Guillermo C. Infante;;PAPERBACK;0;NECITITA;;0.0;;;0.0;revolutia din cuba
18;Cateva lucruri despre tine;Florin Irimia;biography;PAPERBACK;151;FINALIZATA;http://books.google.com/books/content?id=6SuTDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2020-08-01;2020-08-02;2.5;un tip care si uraste tatal
19;Secretul din Padurea Privighetorii;Lucy Strange;fiction;PAPERBACK;280;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1559638508i/46143272.jpg;1.0;2021-09-25;2021-09-25;3.0;o fetita si o vrajitoare
20;Incepe cu ce nu ti place;Brain Tracy;;PAPERBACK;0;FINALIZATA;;1.0;2021-09-25;2021-09-25;3.0;dezvoltare personala
21;The 100;Kass Morgan;SF;PAPERBACK;323;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377012321i/17332969.jpg;1.0;2022-09-11;2022-10-03;2.5;oamenii se intorc pe terra dupa 300 ani
22;Focurile din Tegel;Fabio Geda;fiction;PAPERBACK;179;FINALIZATA;http://books.google.com/books/content?id=EEKTDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2021-06-06;2021-06-15;4.5;copii dupa o epidemie care supravietuiesc cum pot
23;Zorii din Alexandre Platz;Fabio Geda;fiction;PAPERBACK;0;FINALIZATA;;1.0;2021-06-06;2021-06-15;4.5;copii dupa o epidemie care supravietuiesc cum pot
24;Batalia din Groupius;Fabio Geda;fiction;PAPERBACK;0;FINALIZATA;;1.0;2021-06-06;2021-06-15;4.5;copii dupa o epidemie care supravietuiesc cum pot
25;Lupii din Brandenburg;Fabio Geda;fiction;PAPERBACK;225;FINALIZATA;http://books.google.com/books/content?id=P3yTDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2022-03-25;2022-04-04;4.5;copii dupa o epidemie care supravietuiesc cum pot
26;Veronika se hotaraste sa moara;Paulo Coelho;romance;PAPERBACK;156;FINALIZATA;http://books.google.com/books/content?id=12A0BQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2022-02-14;2022-02-20;4.5;o tipa care vr sa moara dar nu mai moare
27;Rosslyn si Graalul;Mark Oxbrow, Ian Robertson;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
28;Codul lui Da Vinci;Dan Brown;action;PAPERBACK;488;FINALIZATA;http://books.google.com/books/content?id=J9AMAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;1.0;2019-03-02;2019-05-30;5.0;un tip si o tipa au o calatorie pt a afla un secret
29;Daca as ramane;Gayle Forman;fiction;PAPERBACK;215;FINALIZATA;bookmory_data/images/books/book_1723018802569.jpg;1.0;2022-02-08;2022-02-13;3.0;dupa un accident de masina nu stie dc sa moara sau sa mai traiasca
30;Baiatul cu pijamale in dungi;John Boyne;history;PAPERBACK;224;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1379406617i/18514025.jpg;1.0;2022-04-23;2022-04-23;2.5;Holocaust
31;Curiosul caz a lui Origami Yoda;Tom Angleberger;;PAPERBACK;0;FINALIZATA;;1.0;2022-04-23;2022-04-23;2.5;copii la scoala
32;Coraline;Neil Gaiman;;PAPERBACK;208;FINALIZATA;http://books.google.com/books/content?id=5S8LEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2018-08-06;2018-08-15;3.5;o fata cu o usa si o a doua dimensiune
